SPECTRUM - MS,
ESI_metabolome water_pos (separate channel)_no vol_volt then volt on.raw,
FTMS + p NSI Full ms [50.00-100.00],
Scan #: 118-125,
RT: 1.11-1.17,
AV: 8,
Data points: 6617,
Mass,Intensity
58.994445,0
58.994542,0
58.994639,3.611256
58.994736,43.954149
58.994833,128.447547
58.99493,231.104326
58.995027,282.270718
58.995124,214.357998
58.99522,116.586077
58.995317,32.588926
58.995414,2.896415
58.995511,0
58.995608,0
58.995705,0
58.995802,0
58.997159,0
58.997256,0
58.997353,0
58.99745,0
58.997547,6.505494
58.997644,24.954494
58.997741,47.257973
58.997837,64.383194
58.997934,56.818557
58.998031,34.650582
58.998128,15.294675
58.998225,1.709263
58.998322,0
58.998419,0
58.998516,0
58.998613,0
59.001521,0
59.001618,0
59.001715,0
59.001812,0
59.001909,16.481206
59.002006,49.691043
59.002103,95.004828
59.0022,128.397898
59.002297,106.081011
59.002394,63.995551
59.00249,24.871061
59.002587,2.673377
59.002684,0
59.002781,0
59.002878,0
59.002975,0
59.046818,0
59.046915,0
59.047012,0
59.047109,0
59.047206,16.017816
59.047303,15.027152
59.0474,6.219315
59.047497,0.662471
59.047594,0
59.047691,0
59.047789,0
59.047886,0
59.047983,0
59.04808,0
59.048177,0
59.048274,0
59.048371,21.755195
59.048468,59.756302
59.048565,189.643904
59.048662,311.224747
59.048759,1477.868921
59.048856,5252.681299
59.048953,13109.16313
59.04905,21763.80403
59.049147,26197.42968
59.049244,20072.94161
59.049341,11751.80406
59.049438,4380.414343
59.049536,1271.188132
59.049633,252.83086
59.04973,62.048892
59.049827,6.114028
59.049924,0
59.050021,0
59.050118,0
59.050215,0
59.059728,0
59.059825,0
59.059922,0
59.060019,0
59.060116,8.600724
59.060213,24.060101
59.06031,45.95918
59.060408,61.385433
59.060505,52.240543
59.060602,33.583087
59.060699,11.071663
59.060796,1.073324
59.060893,0
59.06099,0
59.061087,0
59.061184,0
59.06769,0
59.067787,0
59.067884,0
59.067981,0
59.068078,0.612207
59.068175,26.624184
59.068272,106.143638
59.068369,217.215225
59.068466,317.365618
59.068564,290.234004
59.068661,179.924157
59.068758,73.17167
59.068855,15.282016
59.068952,1.185836
59.069049,0
59.069146,0
59.069243,0
59.06934,0
59.119868,0
59.119966,0
59.120063,0
59.12016,0
59.120257,5.106563
59.120355,10.078471
59.120452,13.261768
59.120549,12.627856
59.120646,8.656591
59.120744,1.164532
59.120841,0
59.120938,0
59.121035,0
59.121133,0
59.61357,0
59.613669,0
59.613767,0
59.613866,0
59.613964,5.69173
59.614063,10.457617
59.614161,13.217585
59.614259,12.359874
59.614358,8.486185
59.614456,1.148367
59.614555,0
59.614653,0
59.614752,0
59.61485,0
59.621841,0
59.62194,0
59.622038,0
59.622137,0
59.622235,6.109047
59.622334,10.573533
59.622432,13.234045
59.62253,12.695781
59.622629,9.047041
59.622727,1.124366
59.622826,0
59.622924,0
59.623023,0
59.623121,0
59.788411,0
59.78851,0
59.788609,0
59.788708,0
59.788807,6.84586
59.788906,11.765678
59.789005,14.877896
59.789103,15.015712
59.789202,11.971992
59.789301,7.303821
59.7894,0.951672
59.789499,0
59.789598,0
59.789697,0
59.789796,0
59.819374,0
59.819473,0
59.819572,0
59.819671,0
59.81977,6.598099
59.819869,10.585826
59.819968,12.464646
59.820067,11.55118
59.820166,8.201005
59.820265,1.120796
59.820364,0
59.820463,0
59.820562,0
59.820661,0
59.975744,0
59.975843,0
59.975943,0
59.976042,0
59.976142,6.152052
59.976241,10.491142
59.97634,13.032804
59.97644,12.060589
59.976539,7.742931
59.976638,1.031456
59.976738,0
59.976837,0
59.976936,0
59.977036,0
60.003771,0
60.00387,0
60.00397,0
60.004069,0
60.004169,11.917855
60.004268,32.647446
60.004367,51.225688
60.004467,55.960224
60.004566,41.164221
60.004666,19.861956
60.004765,3.141998
60.004864,0
60.004964,0
60.005063,0
60.005163,0
60.04326,0
60.04336,0
60.043459,0
60.043559,0
60.043658,10.854748
60.043758,43.563288
60.043857,93.141941
60.043957,277.371004
60.044056,996.44465
60.044156,3079.70068
60.044255,6030.904988
60.044355,9051.694635
60.044454,9196.870361
60.044554,6470.96481
60.044653,3349.095529
60.044753,1154.21208
60.044853,246.157209
60.044952,41.671901
60.045052,18.712723
60.045151,7.05686
60.045251,0.789325
60.04535,0
60.04545,0
60.045549,0
60.045649,0
60.051621,0
60.05172,0
60.05182,0
60.051919,0
60.052019,3.736013
60.052118,48.984746
60.052218,192.967069
60.052317,493.640005
60.052417,841.109846
60.052516,1029.680568
60.052616,807.648204
60.052716,470.195749
60.052815,171.296881
60.052915,35.558197
60.053014,6.940948
60.053114,0.008955
60.053213,0
60.053313,0
60.053412,0
60.053512,0
60.054806,0
60.054906,0
60.055005,0
60.055105,0
60.055204,2.778213
60.055304,44.994668
60.055403,131.656607
60.055503,260.323528
60.055602,378.163575
60.055702,382.223648
60.055801,269.767457
60.055901,131.587582
60.056001,31.13022
60.0561,1.147528
60.0562,0
60.056299,0
60.056399,0
60.056498,0
60.06994,0
60.07004,0
60.070139,0
60.070239,0
60.070338,5.259717
60.070438,10.073359
60.070538,13.421133
60.070637,13.590683
60.070737,10.451731
60.070836,2.335618
60.070936,0
60.071035,0
60.071135,0
60.071235,0
60.0798,0
60.0799,0
60.079999,0
60.080099,0
60.080199,12.371627
60.080298,48.607796
60.080398,203.060549
60.080497,697.378924
60.080597,1688.172216
60.080697,2853.192601
60.080796,3483.247507
60.080896,2790.760048
60.080995,1677.251228
60.081095,655.914493
60.081195,166.428963
60.081294,28.540036
60.081394,2.382143
60.081494,0
60.081593,0
60.081693,0
60.081792,0
60.182529,0
60.182629,0
60.182729,0
60.182829,0
60.182929,6.823383
60.183029,11.882335
60.183129,14.425658
60.183228,13.561265
60.183328,9.9644
60.183428,4.77074
60.183528,0
60.183628,0
60.183728,0
60.183828,0
60.339725,0
60.339825,0
60.339925,0
60.340025,0
60.340126,6.727867
60.340226,11.668016
60.340326,13.186762
60.340426,10.734009
60.340527,6.119673
60.340627,0.829413
60.340727,0
60.340827,0
60.340928,0
60.341028,0
60.617791,0
60.617892,0
60.617993,0
60.618094,0
60.618195,5.907336
60.618296,10.064938
60.618397,11.759819
60.618498,10.390327
60.618599,6.734521
60.6187,2.24446
60.6188,0
60.618901,0
60.619002,0
60.619103,0
60.652432,0
60.652533,0
60.652634,0
60.652735,0
60.652836,5.445914
60.652937,9.882162
60.653038,11.845449
60.653139,10.578338
60.65324,7.030757
60.653341,1.010331
60.653442,0
60.653543,0
60.653644,0
60.653745,0
60.874919,0
60.875021,0
60.875122,0
60.875224,0
60.875325,6.602666
60.875427,11.84319
60.875529,13.929213
60.87563,11.601062
60.875732,6.4388
60.875833,7.278695
60.875935,10.958534
60.876037,12.818301
60.876138,11.316723
60.87624,7.606487
60.876341,1.108462
60.876443,0
60.876545,0
60.876646,0
60.876748,0
61.009856,0
61.009958,0
61.01006,0
61.010161,0
61.010263,9.071117
61.010365,63.294788
61.010467,169.485948
61.010569,305.275517
61.010671,394.420939
61.010773,341.619705
61.010875,209.420482
61.010977,79.881566
61.011079,9.255361
61.011181,0
61.011283,0
61.011385,0
61.011487,0
61.01169,0
61.011792,0
61.011894,0
61.011996,0
61.012098,8.542069
61.0122,15.082978
61.012302,17.423568
61.012404,14.446262
61.012506,8.24842
61.012608,1.673629
61.01271,0
61.012812,0
61.012914,0
61.013016,0
61.027392,0
61.027494,0
61.027596,0
61.027698,0
61.0278,20.639145
61.027902,50.902796
61.028003,242.638009
61.028105,876.501262
61.028207,2357.38122
61.028309,4145.123187
61.028411,5432.889252
61.028513,4673.586275
61.028615,2975.96239
61.028717,1272.689332
61.028819,364.718162
61.028921,56.392997
61.029023,2.44262
61.029125,0
61.029227,0
61.029329,0
61.029431,0
61.037998,0
61.0381,0
61.038202,0
61.038304,0
61.038406,61.5557
61.038508,91.294544
61.03861,17.404802
61.038712,0
61.038814,0
61.038916,48.462036
61.039018,471.033226
61.03912,1160.108552
61.039222,3422.212418
61.039324,11062.70525
61.039426,28075.47779
61.039528,48706.03397
61.039631,61237.71785
61.039733,50275.97396
61.039835,30581.46712
61.039937,12212.58284
61.040039,3617.000047
61.040141,1495.00989
61.040243,1307.266107
61.040345,884.777966
61.040447,484.027766
61.040549,93.942527
61.040651,4.581165
61.040753,0
